,0
0,-999.445496997796
1,860.084871072555
2,-409.5452310219407
3,512.7552554013673
4,3522.819296760834
5,1711.3186905675102
6,4440.827754550497
7,1051.4383907003794
8,-2711.6649194243364
9,4428.090019690222
10,-6075.979575208039
11,-2543.4844330209307
12,-2119.1704690176994
13,10800.603692627046
14,5223.591176758055
15,3718.1757801816566
16,-975.2898036193801
17,8.803403567289934
18,628.7445421988377
19,1197.5004650392802
20,-541.0602593087824
21,1961.2157506441
22,2509.1997123220935
23,-591.1895664609037
24,551.5205942405155
25,-12027.720820395276
26,2613.1780900188023
27,4837.582095393096
28,-165.08455142204184
29,-285.4964654445648
30,-12234.931439114735
31,-3804.922392310109
32,1865.4285909391474
33,10164.850631565088
34,-4622.924080517958
35,-1488.9489436616423
36,2627.7304448895156
37,170.88557491940446
38,1436.523114918382
39,-449.1503379759379
40,164.77606553037185
41,1974.1572442626348
42,-3745.762497024494
43,6774.025181503384
44,-2483.7491084289504
45,3775.9406069945544
46,8837.357775802724
47,-1605.6060324859573
48,4593.570151214488
49,-1054.6975119099952
50,3927.8930708393455
51,2628.3870439146413
52,-439.6575019834563
53,3542.7390237426152
54,-2043.4003213499673
55,2426.7638957214076
56,1502.6086235046387
57,-3415.1327976990724
58,794.2192263794132
59,3354.55844955449
60,165.3629351806594
61,1990.2567889406346
