,0
0,1000000.0
1,1000465.6794741974
2,999002.7808468346
3,1001313.4826170118
4,998434.4042435493
5,996203.0576151365
6,1003449.2378487849
7,999513.6347381956
8,998898.061786248
9,991890.473076377
10,991816.302884358
11,985024.2026713366
12,990591.2835774272
13,989297.5931723868
14,1000614.9482248919
15,1008449.047936863
16,1013627.8420622757
17,1013413.5189599654
18,1005816.4953356031
19,996657.4161246818
20,998161.6768387533
21,996794.6044295124
22,1009841.1379368632
23,1007910.9880328728
24,1008906.6897280423
25,1005996.3371267822
26,1013246.1984379133
27,1018852.7937574452
28,1026571.851465216
29,1032338.5650685764
30,1034819.8848555549
31,1036560.4699620656
32,1036317.5084589152
33,1038864.2800580752
34,1045919.1846095304
35,1046549.9116032298
36,1044370.76940701
37,1041844.5249935689
38,1039131.5384799173
39,1056113.85050512
40,1050329.7074028095
41,1050066.6285009193
42,1048612.4510061701
43,1046788.5553986094
44,1044757.5827013396
45,1044944.1773068001
46,1045837.2503131009
47,1044725.5570187713
48,1043150.1367097403
49,1045590.286325702
50,1046068.1845135209
51,1043319.9402170912
52,1044353.4989269621
53,1028166.7806971392
54,1025982.0397910486
55,1029341.0082128907
56,1024703.9806971392
57,1023679.638116881
58,1032642.6239374632
59,1028999.722125282
60,1033920.1717202414
61,1030068.5473068
62,1027277.1964967191
