,0
0,465.6794741974445
1,-1462.898627362796
2,2310.701770177111
3,-2879.0783734624274
4,-2231.346628412837
5,7246.180233648396
6,-3935.60311058932
7,-615.5729519475717
8,-7007.588709871052
9,-74.17019201896619
10,-6792.100213021389
11,5567.080906090559
12,-1293.6904050403973
13,11317.355052505154
14,7834.099711971125
15,5178.794125412707
16,-214.32310231029987
17,-7597.023624362308
18,-9159.079210921307
19,1504.2607140714535
20,-1367.0724092408782
21,13046.533507350832
22,-1930.1499039904447
23,995.701695169555
24,-2910.3526012601797
25,7249.861311131157
26,5606.595319531858
27,7719.057707770844
28,5766.713603360346
29,2481.3197869785363
30,1740.585106510669
31,-242.96150315040722
32,2546.7715991600417
33,7054.904551455169
34,630.7269936994417
35,-2179.1421962197637
36,-2526.2444134411635
37,-2712.986513651558
38,16982.312025202555
39,-5784.143102310365
40,-263.07890189019963
41,-1454.177494749194
42,-1823.8956075607566
43,-2030.9726972697536
44,186.59460546053015
45,893.0730063007213
46,-1111.6932943295687
47,-1575.420309031033
48,2440.149615961709
49,477.898187818937
50,-2748.244296429679
51,1033.5587098709075
52,-16186.71822982293
53,-2184.740906090592
54,3358.968421842088
55,-4637.0275157515425
56,-1024.3425802581478
57,8962.985820582137
58,-3642.9018121811096
59,4920.449594959384
60,-3851.624413441401
61,-2791.350810080883
