,0
0,1000000.0
1,999203.8346925355
2,999063.5625
3,999063.5625
4,999063.5625
5,999063.5625
6,999063.5625
7,999063.5625
8,999063.5625
9,999063.5625
10,999063.5625
11,999063.5625
12,999063.5625
13,999063.5625
14,999063.5625
15,999063.5625
16,999063.5625
17,999063.5625
18,999063.5625
19,999063.5625
20,999063.5625
21,999063.5625
22,999063.5625
23,999063.5625
24,999063.5625
25,999063.5625
26,999063.5625
27,999063.5625
28,998562.3902728176
29,998425.3125
30,998425.3125
31,998425.3125
32,998425.3125
33,998425.3125
34,998425.3125
35,998425.3125
36,998425.3125
37,998425.3125
38,998425.3125
39,998425.3125
40,998425.3125
41,998425.3125
42,998425.3125
43,998425.3125
44,998425.3125
45,998425.3125
46,998425.3125
47,998425.3125
48,998425.3125
49,998425.3125
50,998425.3125
51,998425.3125
52,998425.3125
53,998425.3125
54,998425.3125
55,998425.3125
56,998425.3125
57,998425.3125
58,998425.3125
59,998425.3125
60,998425.3125
61,998425.3125
62,998425.3125
