,0
0,1000000.0
1,999000.5545030022
2,999860.6393740748
3,999451.0941430528
4,999963.8493984542
5,1003486.668695215
6,1005197.9873857825
7,1009638.815140333
8,1010690.2535310334
9,1007978.5886116091
10,1012406.6786312993
11,1006330.6990560913
12,1003787.2146230703
13,1001668.0441540526
14,1012468.6478466797
15,1017692.2390234377
16,1021410.4148036194
17,1020435.125
18,1020443.9284035673
19,1021072.6729457661
20,1022270.1734108054
21,1021729.1131514966
22,1023690.3289021407
23,1026199.5286144628
24,1025608.3390480019
25,1026159.8596422424
26,1014132.1388218472
27,1016745.316911866
28,1021582.899007259
29,1021417.814455837
30,1021132.3179903924
31,1008897.3865512777
32,1005092.4641589676
33,1006957.8927499068
34,1017122.7433814718
35,1012499.8193009539
36,1011010.8703572922
37,1013638.6008021818
38,1013809.4863771012
39,1015246.0094920195
40,1014796.8591540436
41,1014961.635219574
42,1016935.7924638366
43,1013190.0299668121
44,1019964.0551483155
45,1017480.3060398865
46,1021256.2466468811
47,1030093.6044226838
48,1028487.9983901979
49,1033081.5685414124
50,1032026.8710295024
51,1035954.7641003417
52,1038583.1511442563
53,1038143.4936422729
54,1041686.2326660155
55,1039642.8323446655
56,1042069.596240387
57,1043572.2048638916
58,1040157.0720661925
59,1040951.2912925719
60,1044305.8497421264
61,1044471.2126773071
62,1046461.4694662477
