,0
0,-180.9375
1,572.25
2,3815.875
3,-454.4375
4,0.0
5,0.0
6,0.0
7,312.125
8,-3246.25
9,173.1875
10,4721.0
11,-4532.15625
12,-756.46875
13,0.0
14,0.0
15,0.0
16,0.0
17,-1270.375
18,-149.3125
19,-4587.1875
20,3234.3125
21,-2035.375
22,-434.5
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
