,0
0,1000000.0
1,1000367.875
2,999741.3125
3,1005036.0
4,1006077.75
5,1008840.3125
6,1009479.21875
7,1013920.078125
8,1013356.23828125
9,1013568.3960284424
10,1015806.5860284424
11,1018477.3660284424
12,1014405.5160284424
13,1017396.1860284423
14,1014336.5560284425
15,1015356.9560284424
16,1011896.3360284425
17,1012377.0160284424
18,1013470.9160284423
19,1013932.3760284423
20,1008805.7760284424
21,1009402.7360284424
22,1008609.0760284424
23,1021134.6360284423
24,1018888.4260284423
25,1018413.6160284424
26,1018980.2960284423
27,1025491.4660284424
28,1023427.8760284424
29,1025588.7860284423
30,1020000.5560284423
31,1022383.9560284424
32,1020668.0060284424
33,1021243.7160284424
34,1019696.8460284424
35,1022770.9060284424
36,1016884.6160284424
37,1012989.2760284424
38,1010695.7560284424
39,1015987.8060284425
40,1012604.8060284425
41,1010378.7360284424
42,1011240.3060284423
43,1014985.9460284424
44,1014297.6660284423
45,1014562.9260284423
46,1013470.5560284425
47,994608.5960284424
48,1007562.2760284424
49,992263.2960284423
50,989689.9160284423
51,998013.1860284423
52,997673.5460284424
53,995944.9060284423
54,997300.4860284424
55,1005212.3060284425
56,1012126.3060284425
57,1005851.8160284424
58,995052.1760284423
59,1003389.9160284423
60,1008040.8960284424
61,996862.1560284424
62,1007750.6360284424
