,0
0,1000000.0
1,1000716.8019362115
2,998825.1166904068
3,999136.6695295527
4,998817.4788117218
5,1000355.5638021686
6,1001744.7686966514
7,1001843.7409098053
8,1000711.8585733986
9,1001707.8767343521
10,1003729.3728439712
11,1004060.0499576568
12,1002327.4472731685
13,1003037.2021845226
14,1002780.6489849663
15,1001957.4621874244
16,998274.3533592228
17,990402.7170406342
18,988037.9030105592
19,992683.4908361818
20,989601.9334684935
21,985875.0555952523
22,985238.7877466995
23,988207.0640760736
24,987507.9187110396
25,995316.9065792847
26,985365.0059955601
27,986235.265128081
28,976855.6263097385
29,986478.7403002166
30,974582.9214486626
31,971943.2239232837
32,969085.6257687379
33,970825.000992508
34,970014.7471818859
35,980334.9287922585
36,986946.7772200933
37,986981.9617199706
38,988710.8834713744
39,982756.7665011648
40,981934.9740924281
41,984679.5471157837
42,983907.9213450621
43,990996.303262062
44,992225.0926007844
45,995540.1012614347
46,997242.9440673228
47,991535.8149822426
48,985121.0834571841
49,981097.2204889297
50,979013.5222682557
51,981865.295730798
52,978664.8376647946
53,986773.2247837066
54,987097.4397464752
55,984471.6705555721
56,995222.5086882972
57,964754.290096557
58,950187.927439804
59,964642.697277832
60,979706.042178173
61,991481.6131992653
62,992789.0050381396
