,0
0,-815.125
1,2200.4375
2,-1164.75
3,1.59375
4,4057.546875
5,-11311.27734375
6,559.5636444854317
7,-3209.570000000065
8,2924.530000000028
9,-1576.9999999998836
10,5009.29999999993
11,2694.2299999999814
12,-1374.7899999999208
13,-3092.130000000121
14,4074.1500000000233
15,-3692.79999999993
16,-81.02999999991152
17,-1034.170000000042
18,-2744.8700000001118
19,128.84999999997672
20,-7251.79999999993
21,-3591.929999999935
22,-1119.8699999999953
23,-2123.3300000000745
24,20738.669999999925
25,4466.740000000107
26,16025.479999999981
27,19493.52000000002
28,4063.9599999999627
29,4405.369999999995
30,4314.689999999828
31,-6138.289999999688
32,1108.3999999999069
33,-2071.390000000014
34,4062.390000000014
35,1488.7200000000885
36,4825.09999999986
37,3164.4599999999627
38,-3282.25
39,2607.75
40,3231.2299999999814
41,5895.510000000009
42,-2168.5999999998603
43,2057.7600000000093
44,4494.35999999987
45,16366.619999999879
46,4941.360000000102
47,8612.230000000214
48,-122.09000000008382
49,6943.899999999907
50,-5883.290000000037
51,4441.810000000056
52,-1213.4799999999814
53,1879.4799999999814
54,5745.89000000013
55,-2237.380000000121
56,-848.1200000001118
57,1778.6700000001583
58,1441.7899999998044
59,-6698.539999999804
60,-798.6000000000931
61,-2016.5200000000186
