,0
0,177.58046429639217
1,2061.3682680769125
2,1164.1825682567433
3,2751.675967596704
4,-923.108188943821
5,-1212.823432343197
6,7539.2322958857985
7,4315.2976747924695
8,6328.944434443372
9,16227.03422142216
10,-13779.142238223809
11,17030.75990399043
12,-444.741002100287
13,7536.800330032827
14,-3621.142292228993
15,5551.721908190753
16,7745.07961596176
17,-7936.84881488164
18,-200.3314071407076
19,1978.1685928592924
20,3058.0573237324134
21,2039.0394779478665
22,-6772.176321632229
23,-7671.318709871033
24,-1535.7190939093707
25,19705.925628562807
26,6318.11379537941
27,-6764.160810080823
28,19306.151833183132
29,4781.393507350702
30,-1064.5934653463773
31,-8612.745820581913
32,4805.239093909273
33,3032.2331233124714
34,-2443.162004200509
35,-15246.303624362452
36,-12145.532931293128
37,1497.4231023101602
38,-9157.228880888084
39,1197.6802880289033
40,-4643.534083408536
41,-9264.009498949745
42,630.8736033603782
43,19036.049018901773
44,1938.2378997900523
45,10881.649306930602
46,-710.6827182718553
47,2329.47250525048
48,6014.705298529938
49,721.5126972696744
50,-11077.81470147008
51,11358.171119112056
52,-18404.640042004175
53,-3273.6365136513487
54,3453.341098109726
55,-3637.869210921228
56,4022.5926012601703
57,8243.803912391188
58,10934.433123312658
59,-47645.82567656797
60,-1027.4791204681387
61,0.0
