,0
0,1000000.0
1,1000047.8616486648
2,996944.2828907891
3,989595.135519802
4,985095.6791554155
5,986674.0606810681
6,989831.1567563007
7,973196.5694663216
8,985435.7749118662
9,962756.938250661
10,968665.5709204879
11,953918.7483468396
12,958765.0366546704
13,975889.6774422491
14,962909.0591479198
15,976589.1908040852
16,969818.4045934642
17,976554.840421547
18,1001005.0066546705
19,1001443.5457995848
20,991249.750291034
21,1000510.4989769026
22,1007892.8185358585
23,996228.5743954445
24,985663.4602460295
25,986248.1781488198
26,984144.1298319881
27,968001.1132163266
28,989070.5160876137
29,1000306.0252235273
30,1013613.6135133563
31,1005183.5910291078
32,1002121.598130818
33,1015046.7943504399
34,1003641.8089679016
35,1005908.6002100259
36,1018303.9955925641
37,1015789.7722352284
38,1008467.7943234373
39,1030208.570102015
40,1030959.8188688918
41,1029988.5830363085
42,1035467.904260431
43,1034432.5396969747
44,1026942.1584818531
45,1027551.8805565606
46,1029187.445970602
47,1043817.7304980548
48,1042323.0413441393
49,1043696.1950975147
50,1045511.1921632213
51,1054625.4279688017
52,1063234.903792384
53,1062018.7887968845
54,1059293.0942244274
55,1059904.543810386
56,1058708.5946384687
57,1061163.5046294678
58,1066043.9763126362
59,1073436.1912991349
60,1068276.0204890538
61,1077139.1021452195
62,1074940.061731178
