,0
0,1000000.0
1,999184.875
2,1001385.3125
3,1000220.5625
4,1000222.15625
5,1004279.703125
6,992968.42578125
7,993527.9894257354
8,990318.4194257354
9,993242.9494257354
10,991665.9494257355
11,996675.2494257354
12,999369.4794257354
13,997994.6894257355
14,994902.5594257354
15,998976.7094257354
16,995283.9094257355
17,995202.8794257356
18,994168.7094257355
19,991423.8394257354
20,991552.6894257354
21,984300.8894257355
22,980708.9594257355
23,979589.0894257355
24,977465.7594257355
25,998204.4294257354
26,1002671.1694257355
27,1018696.6494257355
28,1038190.1694257355
29,1042254.1294257354
30,1046659.4994257354
31,1050974.1894257353
32,1044835.8994257356
33,1045944.2994257355
34,1043872.9094257355
35,1047935.2994257355
36,1049424.0194257356
37,1054249.1194257354
38,1057413.5794257354
39,1054131.3294257354
40,1056739.0794257354
41,1059970.3094257354
42,1065865.8194257354
43,1063697.2194257355
44,1065754.9794257355
45,1070249.3394257354
46,1086615.9594257353
47,1091557.3194257354
48,1100169.5494257356
49,1100047.4594257355
50,1106991.3594257354
51,1101108.0694257354
52,1105549.8794257354
53,1104336.3994257355
54,1106215.8794257354
55,1111961.7694257356
56,1109724.3894257355
57,1108876.2694257353
58,1110654.9394257355
59,1112096.7294257353
60,1105398.1894257355
61,1104599.5894257354
62,1102583.0694257354
