,0
0,1000000.0
1,1000177.5804642964
2,1002238.9487323733
3,1003403.13130063
4,1006154.8072682268
5,1005231.6990792829
6,1004018.8756469397
7,1011558.1079428255
8,1015873.405617618
9,1022202.3500520614
10,1038429.3842734835
11,1024650.2420352597
12,1041681.0019392502
13,1041236.2609371499
14,1048773.0612671827
15,1045151.9189749537
16,1050703.6408831445
17,1058448.7204991062
18,1050511.8716842246
19,1050311.5402770839
20,1052289.7088699432
21,1055347.7661936756
22,1057386.8056716234
23,1050614.6293499912
24,1042943.3106401202
25,1041407.5915462108
26,1061113.5171747736
27,1067431.630970153
28,1060667.4701600722
29,1079973.6219932553
30,1084755.015500606
31,1083690.4220352597
32,1075077.6762146777
33,1079882.915308587
34,1082915.1484318995
35,1080471.986427699
36,1065225.6828033365
37,1053080.1498720434
38,1054577.5729743536
39,1045420.3440934655
40,1046618.0243814944
41,1041974.4902980858
42,1032710.4807991361
43,1033341.3544024965
44,1052377.4034213983
45,1054315.6413211883
46,1065197.290628119
47,1064486.607909847
48,1066816.0804150975
49,1072830.7857136275
50,1073552.2984108971
51,1062474.483709427
52,1073832.6548285391
53,1055428.014786535
54,1052154.3782728836
55,1055607.7193709933
56,1051969.850160072
57,1055992.4427613323
58,1064236.2466737234
59,1075170.679797036
60,1027524.8541204681
61,1026497.375
62,1026497.375
