,0
0,1000000.0
1,1000160.6181657267
2,1000727.9398780632
3,1000558.1920243264
4,1000501.9061870575
5,1003195.0982826615
6,1005449.2537776948
7,1005858.8060520935
8,1006571.2599479337
9,1005486.6613113403
10,1007769.9612327575
11,1010102.5936211351
12,1010687.25186744
13,1015284.6942869141
14,1014312.4602361452
15,1020273.5666996004
16,1014334.2386474579
17,1018397.5407678426
18,1013822.0395760733
19,1005122.1836114882
20,1006133.3436044102
21,1011292.3412366243
22,1012153.5218916018
23,1012074.2373917142
24,1009707.7063549568
25,1014295.5487086241
26,1013720.3702942509
27,1008506.8981935722
28,1008633.5608512632
29,1006959.077331673
30,1005588.8304076866
31,999658.1657716521
32,1006067.3566844974
33,1002557.0454595323
34,1002080.1265617189
35,1009149.3258169189
36,1004927.5814115528
37,1005766.8907314423
38,1003621.1599812312
39,1018049.9597858844
40,1023939.6034609149
41,1037515.5667862811
42,1031729.7747507573
43,1029251.6385489416
44,1022462.5470189967
45,1023108.3219995917
46,1022244.0856596071
47,1028673.7474410905
48,1031606.7263919604
49,1034095.7817943187
50,1036196.8742129569
51,1029420.6738152702
52,1043449.0403364591
53,1051460.612191043
54,1051796.7679479232
55,1051515.0145034948
56,1051839.4380449115
57,1048960.7219942154
58,1047952.9172346306
59,1047760.6918626212
60,1051539.7618365502
61,1047851.1838281692
62,1050799.5019261732
