,0
0,1000000.0
1,998507.3306644631
2,998335.0625
3,998335.0625
4,998335.0625
5,998335.0625
6,998335.0625
7,1000582.2709360314
8,998343.1313235569
9,1005905.2372036361
10,1008421.7997801066
11,1007892.3125
12,1007892.3125
13,1007892.3125
14,1007892.3125
15,1007892.3125
16,1007892.3125
17,1007892.3125
18,1007892.3125
19,1007892.3125
20,1007892.3125
21,1007892.3125
22,1007892.3125
23,1007892.3125
24,1007892.3125
25,1007892.3125
26,1007892.3125
27,1007892.3125
28,1007892.3125
29,1007892.3125
30,1007892.3125
31,1007892.3125
32,1007892.3125
33,1007892.3125
34,1007892.3125
35,1007892.3125
36,1007892.3125
37,1007892.3125
38,1007892.3125
39,1007892.3125
40,1007892.3125
41,1007892.3125
42,1007892.3125
43,1007892.3125
44,1007892.3125
45,1007892.3125
46,1007892.3125
47,1007892.3125
48,1007892.3125
49,1007892.3125
50,1007892.3125
51,1007892.3125
52,1007892.3125
53,1007892.3125
54,1007892.3125
55,1007892.3125
56,1007892.3125
57,1014838.1904902076
58,1014692.6875
59,1014692.6875
60,1014692.6875
61,1014692.6875
62,1014692.6875
