,0
0,1000000.0
1,999879.6857576799
2,1002102.2861056805
3,1001903.875
4,1001903.875
5,1001903.875
6,1001903.875
7,1001903.875
8,1001903.875
9,1001903.875
10,1001903.875
11,1001903.875
12,1001903.875
13,1001903.875
14,1001903.875
15,1001903.875
16,1001903.875
17,1001903.875
18,1001903.875
19,1001903.875
20,1001903.875
21,1001903.875
22,1001903.875
23,1001903.875
24,1001903.875
25,1001903.875
26,1001903.875
27,1001903.875
28,1001903.875
29,1001903.875
30,1001903.875
31,1001903.875
32,1001903.875
33,1001903.875
34,1001903.875
35,1001903.875
36,1001903.875
37,1001903.875
38,1001903.875
39,1001903.875
40,1001903.875
41,1001903.875
42,1001903.875
43,1001903.875
44,1001903.875
45,1001903.875
46,1001903.875
47,1001903.875
48,1001903.875
49,1001903.875
50,1001903.875
51,999876.099410429
52,1000404.9244098901
53,1000349.1229813211
54,991825.7212438341
55,982265.6468682885
56,995163.5739864801
57,987384.6720522658
58,987563.0713185286
59,992254.515286417
60,980906.127200764
61,991270.6399854785
62,997158.765160675
