,0
0,1000000.0
1,1000228.5
2,1000028.5625
3,1000028.5625
4,1000028.5625
5,1000028.5625
6,1000028.5625
7,1000028.5625
8,1000028.5625
9,1000028.5625
10,1000028.5625
11,1000028.5625
12,1000028.5625
13,1000028.5625
14,1000028.5625
15,1000028.5625
16,1000028.5625
17,1000028.5625
18,1000028.5625
19,1000028.5625
20,1000028.5625
21,1000028.5625
22,1000028.5625
23,1000028.5625
24,1000028.5625
25,1000028.5625
26,1000028.5625
27,1000028.5625
28,1000028.5625
29,1000028.5625
30,1000028.5625
31,1000028.5625
32,1000028.5625
33,1000028.5625
34,1000028.5625
35,1000028.5625
36,1000028.5625
37,1000028.5625
38,1000028.5625
39,1000028.5625
40,1000028.5625
41,1000028.5625
42,1000028.5625
43,1000028.5625
44,1000028.5625
45,1000028.5625
46,1000028.5625
47,1000028.5625
48,1000028.5625
49,1000028.5625
50,1000028.5625
51,1000028.5625
52,1000028.5625
53,1000028.5625
54,1000028.5625
55,1000028.5625
56,1000028.5625
57,1000517.3125
58,1002556.375
59,1006998.28125
60,1010628.65625
61,1018183.0361859131
62,1016704.7261859131
