,0
0,-315.87411593901925
1,-109.99971693521366
2,418.1834708499955
3,-1041.3907409805106
4,115.35695041017607
5,-1785.9262688530143
6,-3072.6004789599683
7,7641.64230099367
8,-894.7754818217363
9,-2143.248161027208
10,7048.550977681996
11,-965.6370181463426
12,7724.519437327981
13,10480.172588077607
14,-2426.279658475076
15,702.4338217179757
16,-91.26108890457544
17,2030.6179060051218
18,-1023.4222230218584
19,-304.8720351413358
20,-205.0284287026152
21,1242.6127985306084
22,1399.8335016730707
23,-398.1708363597281
24,0.0
25,0.0
26,68.83953562797979
27,-132.71453562797979
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,-0.3391694880556315
34,943.8437676052563
35,-315.25459811720066
36,-188.68701574322768
37,-356.2776372337248
38,-78.99770978931338
39,2681.390589739429
40,3312.9565742050763
41,-2330.7759438200155
42,-1832.565390637843
43,3742.7159269539407
44,-2030.392426739214
45,-2965.7629049498355
46,-6248.51953380066
47,4901.695389722241
48,1793.983013670775
49,-2049.096925407881
50,-4604.306890000589
51,11923.2536508895
52,-5462.339363606763
53,1646.1506260609021
54,-279.8169929239666
55,1466.2297138646245
56,-165.59784569533076
57,-6689.920690758969
58,7108.019630938536
59,-5690.868255130481
60,1601.0409250837984
61,2489.415585313225
