,0
0,-3198.4978930568323
1,289.1556119059678
2,5250.438938512234
3,-3074.1596142858034
4,3957.112519264221
5,-1829.8825358363101
6,3802.614424377214
7,2522.647752005025
8,373.78866504179314
9,-2526.180857524858
10,-589.2870104026515
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,-230.90586582419928
29,-96.53163417580072
30,-0.29239807126577944
31,1477.092073137057
32,-1126.141909143189
33,327.03375524515286
34,-1781.8500118082156
35,-1873.8485008442076
36,-7562.006495683221
37,5632.334523985395
38,-5087.839490951505
39,5448.968415197218
40,3547.823019314441
41,-1085.3063339341898
42,7900.928033976932
43,3237.125995973125
44,1997.5218903068453
45,-1184.969002308324
46,-1380.4720751531422
47,-2979.320338268415
48,-317.66803914506454
49,-3115.7684458771255
50,-3691.4275398839964
51,-3978.26618630765
52,64.66751020343509
53,-8149.761311478796
54,7124.475897697965
55,-12179.630657886737
56,2477.216444741469
57,-5319.0644796337
58,3870.039774526842
59,1384.729506863514
60,-988.1986247906461
61,0.0
