,0
0,1000000.0
1,999819.0625
2,1000391.3125
3,1004207.1875
4,1003752.75
5,1003752.75
6,1003752.75
7,1003752.75
8,1004064.875
9,1000818.625
10,1000991.8125
11,1005712.8125
12,1001180.65625
13,1000424.1875
14,1000424.1875
15,1000424.1875
16,1000424.1875
17,1000424.1875
18,999153.8125
19,999004.5
20,994417.3125
21,997651.625
22,995616.25
23,995181.75
24,995181.75
25,995181.75
26,995181.75
27,995181.75
28,995181.75
29,995181.75
30,995181.75
31,995181.75
32,995181.75
33,995181.75
34,995181.75
35,995181.75
36,995181.75
37,995181.75
38,995181.75
39,995181.75
40,995181.75
41,995181.75
42,995181.75
43,995181.75
44,995181.75
45,995181.75
46,995181.75
47,995181.75
48,995181.75
49,995181.75
50,995181.75
51,995181.75
52,995181.75
53,995181.75
54,995181.75
55,995181.75
56,995181.75
57,995181.75
58,995181.75
59,995181.75
60,995181.75
61,995181.75
62,995181.75
