,0
0,1000000.0
1,996801.5021069432
2,997090.6577188491
3,1002341.0966573614
4,999266.9370430756
5,1003224.0495623398
6,1001394.1670265035
7,1005196.7814508807
8,1007719.4292028857
9,1008093.2178679275
10,1005567.0370104027
11,1004977.75
12,1004977.75
13,1004977.75
14,1004977.75
15,1004977.75
16,1004977.75
17,1004977.75
18,1004977.75
19,1004977.75
20,1004977.75
21,1004977.75
22,1004977.75
23,1004977.75
24,1004977.75
25,1004977.75
26,1004977.75
27,1004977.75
28,1004977.75
29,1004746.8441341758
30,1004650.3125
31,1004650.0201019287
32,1006127.1121750658
33,1005000.9702659226
34,1005328.0040211678
35,1003546.1540093595
36,1001672.3055085153
37,994110.2990128321
38,999742.6335368175
39,994654.794045866
40,1000103.7624610632
41,1003651.5854803777
42,1002566.2791464435
43,1010467.2071804204
44,1013704.3331763935
45,1015701.8550667004
46,1014516.886064392
47,1013136.4139892389
48,1010157.0936509705
49,1009839.4256118254
50,1006723.6571659483
51,1003032.2296260643
52,999053.9634397567
53,999118.6309499601
54,990968.8696384813
55,998093.3455361793
56,985913.7148782925
57,988390.931323034
58,983071.8668434003
59,986941.9066179271
60,988326.6361247906
61,987338.4375
62,987338.4375
