,0
0,1000000.0
1,999684.125884061
2,999574.1261671258
3,999992.3096379758
4,998950.9188969953
5,999066.2758474054
6,997280.3495785524
7,994207.7490995924
8,1001849.3914005861
9,1000954.6159187644
10,998811.3677577372
11,1005859.9187354192
12,1004894.2817172728
13,1012618.8011546008
14,1023098.9737426784
15,1020672.6940842033
16,1021375.1279059213
17,1021283.8668170167
18,1023314.4847230219
19,1022291.0625
20,1021986.1904648587
21,1021781.162036156
22,1023023.7748346867
23,1024423.6083363597
24,1024025.4375
25,1024025.4375
26,1024025.4375
27,1024094.277035628
28,1023961.5625
29,1023961.5625
30,1023961.5625
31,1023961.5625
32,1023961.5625
33,1023961.5625
34,1023961.223330512
35,1024905.0670981172
36,1024589.8125
37,1024401.1254842568
38,1024044.847847023
39,1023965.8501372337
40,1026647.2407269732
41,1029960.1973011782
42,1027629.4213573582
43,1025796.8559667204
44,1029539.5718936743
45,1027509.1794669351
46,1024543.4165619853
47,1018294.8970281846
48,1023196.5924179069
49,1024990.5754315776
50,1022941.4785061697
51,1018337.1716161692
52,1030260.4252670587
53,1024798.0859034519
54,1026444.2365295128
55,1026164.4195365888
56,1027630.6492504535
57,1027465.0514047581
58,1020775.1307139992
59,1027883.1503449377
60,1022192.2820898072
61,1023793.323014891
62,1026282.7386002042
