,0
0,367.875
1,-626.5625
2,5294.6875
3,1041.75
4,2762.5625
5,638.90625
6,4440.859375
7,-563.83984375
8,212.15774719242472
9,2238.189999999944
10,2670.780000000028
11,-4071.8499999999767
12,2990.6699999999255
13,-3059.6299999998882
14,1020.3999999999069
15,-3460.619999999879
16,480.6799999999348
17,1093.8999999999069
18,461.45999999996275
19,-5126.59999999986
20,596.9599999999627
21,-793.6600000000326
22,12525.55999999994
23,-2246.2099999999627
24,-474.80999999993946
25,566.6799999999348
26,6511.170000000042
27,-2063.5899999999674
28,2160.909999999916
29,-5588.229999999981
30,2383.4000000000233
31,-1715.9499999999534
32,575.7099999999627
33,-1546.8699999999953
34,3074.060000000056
35,-5886.290000000037
36,-3895.3399999999674
37,-2293.5200000000186
38,5292.050000000047
39,-3383.0
40,-2226.070000000065
41,861.5699999999488
42,3745.640000000014
43,-688.2800000000279
44,265.2600000000093
45,-1092.369999999879
46,-18861.96000000008
47,12953.680000000051
48,-15298.980000000098
49,-2573.3800000000047
50,8323.270000000019
51,-339.63999999989755
52,-1728.6400000001304
53,1355.5800000000745
54,7911.820000000065
55,6914.0
56,-6274.490000000107
57,-10799.640000000014
58,8337.73999999999
59,4650.980000000098
60,-11178.73999999999
61,10888.479999999981
